setup_ns,run_ns
109988,436353418
116571,433654415
111681,432963149
111076,431925243
112169,433335778
110017,431500220
108751,435230835
110916,433094882
109483,437674196
108724,432555916
109934,434167001
109656,435366438
112635,432128344
109751,434814901
108931,432374503
109352,432589916
110823,431731531
108327,432883658
108174,435239979
109732,435012107
110076,433044752
111891,433608889
109245,432441871
109640,436879083
109268,433581135
109398,434193986
108958,432012333
107761,434193001
111657,433025968
107899,434154946
108337,434648107
107982,432425995
108219,437821313
109130,435430882
109104,432185280
114262,434054014
108938,434946798
111701,435194798
108292,434828574
108344,435007300
107268,433973307
108807,433023794
108604,435002212
107807,435838773
107461,432131886
108352,433581013
107583,434337358
108615,436621307
109239,432937005
109012,431855836
108228,434769435
108747,438195937
109143,432173633
106861,435367125
107854,433313347
107128,437341816
107131,432140281
108144,434298886
108004,434601882
108613,432034467
107017,433650748
107731,433182599
106608,433666194
107508,432063334
110199,432507278
107591,436024860
109596,433084568
110819,433022703
106940,435758246
109522,434392556
107007,432459015
108758,433311790
107728,432288643
114013,434327910
108021,434221167
106093,435667614
108469,434193978
110286,434228899
109744,434444527
110273,434856305
110660,432815047
107770,431943215
110498,438809883
113145,434066900
107507,433589291
108076,435694322
107641,433877955
108726,432997611
108398,432327015
109198,431368752
107605,435968278
109689,434995683
106897,433795535
108048,433899083
108119,433907161
108094,435237119
107835,432524372
108525,431898259
107062,432324128
107857,432937271
108318,438655273
108563,434123146
106906,437858538
108366,434443330
107735,432842355
108073,433889887
108770,431525448
107272,431627903
107583,436753398
107324,431943952
106964,433380984
109101,432939741
107810,435239540
107135,432259023
108689,434967337
108889,431793352
107919,436184746
108642,431841567
107201,431831752
