setup_ns,run_ns
141361,13188138
132248,12867609
170280,13365061
149433,12975889
182031,12786082
133772,13432681
131054,13150634
127437,13281397
364444,13037269
124952,13126874
139452,13094868
154810,13041993
122397,12953907
132801,12818083
145302,12957486
161555,13025107
150799,13008743
125327,13025254
129621,12928528
114722,12534255
155082,12765435
131727,13372336
127727,12549816
151888,13311510
145200,13192514
137594,12881329
221255,13263475
132690,12946756
129035,12795457
139540,13124897
130540,13017379
117098,13218791
114972,12657824
178774,12678351
136210,13663838
111764,12996007
122275,13071873
176438,13412592
122782,13021361
96736,13141509
131089,12866120
96138,12726272
170316,12904125
157987,12940555
122124,13037280
130391,12872093
96766,13273600
122985,13152157
95719,13340502
116867,13167869
215362,13180380
131785,12935024
136452,13014534
145959,13390189
132523,13044133
119999,12697688
97507,13080438
119866,13126999
103279,13114593
95716,12843372
171380,12765791
145129,12946747
153081,13210615
137148,12700455
128697,12410405
168623,12884321
125786,13103681
164217,12892257
129705,13171706
152300,12845439
119655,13183536
256513,12958026
136867,13046906
162761,12769253
150719,13015595
123946,12989733
98706,13197680
123030,12630864
121565,13046092
132798,12986051
131999,12861409
98718,13134671
124708,12938342
182556,12981592
118312,13110958
124142,13261247
107654,13236944
100986,13004261
114571,13144853
138195,12874279
160350,13220638
128409,12566331
101808,12887646
134724,13135207
113028,13212066
124802,13187526
247815,13065110
142528,12804447
169363,12674908
136327,13008908
119596,12817574
150043,13034803
105110,13074608
168756,12962003
132666,12739427
135279,12802870
130128,12603695
141101,12948642
158380,13200746
112997,13283897
179053,12709839
119929,12963822
128458,12764483
136839,13131626
124408,12998632
179633,12485598
136637,13500428
144877,13279891
113125,13581801
99567,12967531
173396,12656102
155886,12852116
138189,13214104
138883,13258029
142750,12869884
262538,12930399
128099,12973647
143701,13021616
153186,13084070
95699,13042718
150552,13062808
