setup_ns,run_ns,peak_mem
250489,1335140588,1779302400
241985,1336787077,1779302400
233991,1336776332,1779302400
213995,1336509931,1779302400
146545,1335309856,1779302400
173833,1337594696,1779302400
205315,1337134984,1779302400
195367,1336649250,1779302400
232630,1334021406,1779302400
172543,1336553212,1779302400
230131,1335964923,1779302400
192191,1336393310,1779302400
220096,1336727870,1779302400
228619,1336176355,1779302400
213734,1335398401,1779302400
189805,1335893090,1779302400
216403,1336753632,1779302400
184552,1336343688,1779302400
171936,1336108405,1779302400
234523,1337547924,1779302400
172889,1336772844,1779302400
237810,1336863430,1779302400
173950,1335046314,1779302400
197954,1336258211,1779302400
213795,1337024062,1779302400
153146,1336009916,1779302400
146237,1336510642,1779302400
196118,1336487402,1779302400
241209,1335672412,1779302400
145117,1336266938,1779302400
251292,1335570377,1779302400
170828,1335384904,1779302400
206507,1336731753,1779302400
190585,1336727582,1779302400
197238,1337431190,1779302400
171966,1335228807,1779302400
153841,1335391437,1779302400
183107,1337484666,1779302400
167644,1336140108,1779302400
236288,1336834691,1779302400
166165,1339426888,1779302400
169716,1337257760,1779302400
231045,1335308756,1779302400
190823,1336718242,1779302400
218217,1335038613,1779302400
