setup_ns,run_ns
168020,72698368
325329,71141517
340207,71226429
226089,58223185
51268,61105926
34987,60671159
61456,60700856
146498,60575618
129717,60647154
110510,60707829
47160,60727005
148482,60656301
66076,60810003
38212,61565280
39054,60783964
143202,60912167
41358,60765309
87176,60784104
131901,60777902
48502,60811216
38654,60906857
100681,60850771
89731,60754438
92475,61041253
296374,72299990
364913,69871052
378540,67820193
400532,70136947
164513,60664307
179151,60760108
45096,60844288
40648,60815534
118425,61109343
210159,75699614
373410,72203938
298046,68185587
342241,72859905
399710,72765345
305401,75359537
290903,69402331
300722,75026514
371466,68362123
428485,71389489
382077,69405607
76105,72473300
224507,61211527
37902,60945290
35106,60938648
128014,61073825
162018,61106086
141529,61015414
148874,61011957
43041,61062663
104519,61092290
127182,61093863
120939,61156181
178208,61746093
43984,61128519
43102,61153937
136790,61163636
54203,61135732
39515,61059037
45727,61110094
355737,76489376
340768,64290771
160215,60989976
148513,60974857
147760,61148797
125028,60973253
341679,76021146
210190,74465979
384561,74590886
364152,72953272
310651,65119287
269392,84097142
135036,74588612
158682,81048504
121922,71387655
148452,60959839
38554,60895796
167228,60970778
152009,61175338
101874,61148377
35748,60903261
112524,61124231
149705,60987330
112834,61032637
