setup_ns,run_ns
3246673,37636074
3328018,40388508
3727628,36629991
3285206,40636318
3149168,37337266
3267382,38493575
3267984,38614094
3357084,38341905
3217227,35796817
3417429,38459309
3243186,38152827
3208190,37489435
3242986,37404373
3426215,36404522
3409042,38661083
3394464,38091249
3342516,38126506
3626566,35826774
2462341,40084078
3421757,39073497
3449480,40180421
3334811,36032975
2707489,39845534
3288523,38703443
3443698,37760721
3311917,35545709
3425633,37400476
3392621,39332569
3451543,37407189
3408321,34924197
3135902,39878166
2573373,39291782
3163566,39755453
3321225,36262111
3094514,39196661
3339160,38991321
3303982,39467957
3106737,36890827
3382812,39542399
3266171,40291933
2769827,39720236
3171541,36058644
3607720,37585037
3054368,37696739
3550401,37353927
3389685,35307346
3135352,38681011
2865779,39361895
3067633,39051936
3479857,36351100
3528499,37504744
3467964,37472112
3576540,37204955
3485748,34987798
3383484,39217771
3250401,38833731
3221194,38597802
3078915,37900977
3075148,37164938
2648837,39152727
3510285,37784977
3271130,37066862
3372673,37525152
3521737,35203568
3375228,36481819
3432177,35548273
3364838,37277582
3503111,37738899
2646633,38322008
3386299,35597037
3358286,37540522
3395115,37340793
3423169,37266351
3124310,34979282
3332166,37836876
3338388,38054389
3527558,37446283
3380918,35226933
3387270,37460971
3524802,36663815
3457615,37476400
3243928,35679734
3412098,37031244
3383143,38888435
3613591,37341163
3338598,34838765
3262303,37062784
3472313,36715252
3301148,36913700
3410976,36015192
3404093,37292120
3166822,38079366
3650511,37345551
3402890,39379950
3420644,37050911
3333559,37059778
3350762,38888054
3492872,34922835
3221215,37071019
3568715,36722758
3217457,36721826
3499695,34812264
3396027,36655940
3313711,36786909
3367764,36977722
3628349,34818486
2950531,38266232
2989384,39326257
3272572,38991371
3348156,36191497
3294374,39229914
3222297,38243078
3247495,39004005
3082711,38959170
3107138,38348048
3433890,38254970
