setup_ns,run_ns,peak_mem
1415703,120317275,200409088
1418999,120288470,200409088
1416494,120106564,200409088
1416855,124234845,200409088
1447603,121750421,200409088
1419730,120330029,200409088
1415532,120052191,200409088
1411705,120187097,200409088
1428406,120126361,200409088
1423117,122359518,200409088
1471318,124395190,200409088
1444848,121236393,200409088
1415883,120222715,200409088
1436702,120029528,200409088
1412717,120250648,200409088
1432143,120594271,200409088
1421313,120292157,200409088
1423598,120316814,200409088
1415382,120207495,200409088
1428156,120570617,200409088
1415503,120515060,200409088
1433657,120401545,200409088
1408839,123522100,200409088
1443375,123096360,200409088
1437564,120576237,200409088
1430380,120124318,200409088
1424228,120515121,200409088
1419810,122123570,200409088
1472050,123671443,200409088
1437254,120785495,200409088
1418698,120321733,200409088
1422525,120234607,200409088
1425881,120335680,200409088
1421965,120214499,200409088
1420171,120303288,200409088
1422686,120493519,200409088
1410493,120435699,200409088
1431383,120514459,200409088
1426804,120383791,200409088
