setup_ns,run_ns,peak_mem
6651599,8704662,1586233344
2456782,12483929,1586233344
8258243,7192638,1586233344
11181753,4017590,1586233344
2135841,13357150,1586233344
6641279,8541232,1586233344
2376198,13584333,1586233344
9299454,6563180,1586233344
2233367,13827474,1586233344
11343341,6126541,1586233344
10962857,4850414,1586233344
12756969,3424442,1586233344
1546871,13847553,1586233344
2139869,13547341,1586233344
9409644,5984570,1586233344
2585497,12354053,1586233344
6800462,8828348,1586233344
1955839,12456637,1586233344
6220980,8923458,1586233344
1661790,12674712,1586233344
6098687,9398112,1586233344
2752845,12633834,1586233344
5611822,8981910,1586233344
7554505,7830431,1586233344
6344665,9049589,1586233344
7731773,7554385,1586233344
1435619,12973670,1586233344
6481395,9447505,1586233344
2952695,11712994,1586233344
