setup_ns,run_ns,peak_mem
1794738,7304469,217186304
1824209,7519373,217186304
1508519,7784326,217186304
1554450,7886564,217186304
934874,9739191,217186304
1609370,7871678,217186304
1755625,7670913,217186304
1776787,7378455,217186304
1774238,8024798,217186304
1955898,7497132,217186304
1735187,7707650,217186304
3639013,5982568,217186304
1791565,7642897,217186304
1341242,8339838,217186304
1843025,7213405,217186304
1654986,7557226,217186304
1387721,7770590,217186304
1482453,8260456,217186304
1986318,7016108,217186304
1925044,7367292,217186304
1941549,7971507,217186304
1732207,7234478,217186304
1693222,7716262,217186304
1577235,8021047,217186304
1632172,7783262,217186304
1850169,7214232,217186304
1706120,7726468,217186304
3570066,5858420,217186304
2003812,7639156,217186304
1651311,7408843,217186304
1725924,7699310,217186304
1824097,7585589,217186304
1968394,7597135,217186304
1718311,7404924,217186304
1567761,7411686,217186304
1588583,7542886,217186304
1825856,7538130,217186304
1830332,7110694,217186304
1290743,8413905,217186304
1525296,7253731,217186304
2004747,7522270,217186304
1704750,7319242,217186304
1469351,7552925,217186304
3706976,5464726,217186304
1701179,7324338,217186304
1907449,7271658,217186304
1735658,7360898,217186304
1647273,7735705,217186304
1553918,7686977,217186304
1666719,7550264,217186304
1722057,7527770,217186304
2492025,6868548,217186304
1608804,10802956,217186304
3697217,5414143,217186304
1818104,7464337,217186304
1628345,7330933,217186304
1476404,7478300,217186304
1495882,7848684,217186304
2140662,6993802,217186304
2000653,7039839,217186304
1842832,7190174,217186304
1778593,7236454,217186304
1909572,7206070,217186304
1536053,7494249,217186304
1725002,7302334,217186304
1766145,7239494,217186304
1631538,7429771,217186304
1437409,7488391,217186304
1653678,7575383,217186304
1604293,7840670,217186304
1539460,7452757,217186304
1959494,7199688,217186304
1656270,7953490,217186304
1888977,7288245,217186304
1813518,7166170,217186304
1867795,7229578,217186304
1669206,7448761,217186304
1182773,8097986,217186304
1528441,7416494,217186304
1794336,6996694,217186304
1648258,7448966,217186304
1851678,7485821,217186304
1707582,7282589,217186304
1869817,7723250,217186304
1912855,7234016,217186304
1718816,7569679,217186304
1495201,7461981,217186304
1835249,7199901,217186304
1539952,7737943,217186304
970901,8232819,217186304
1638149,7589519,217186304
1588502,7741518,217186304
1687519,7383788,217186304
1933247,7197777,217186304
1697850,7218220,217186304
1909414,7326140,217186304
1854020,7362319,217186304
1901768,7525565,217186304
1794979,7516975,217186304
1820189,7151525,217186304
2030456,7477944,217186304
1732964,7108796,217186304
862191,9028906,217186304
1893705,7331243,217186304
1955993,7854229,217186304
2085735,7554805,217186304
1897807,7470994,217186304
1650333,7757545,217186304
1746055,7235311,217186304
1697312,7874965,217186304
1506100,7628692,217186304
1684313,7357034,217186304
1845158,7712668,217186304
1657375,7376116,217186304
3601642,5331617,217186304
710360,9658715,217186304
1711209,7435989,217186304
1748422,8066725,217186304
1767745,7578477,217186304
1457251,7231993,217186304
3789365,5337162,217186304
1723047,7217757,217186304
1707119,7240346,217186304
1814193,7284163,217186304
1990660,7535644,217186304
1569387,7574580,217186304
1657115,7136574,217186304
1795759,7422499,217186304
1477601,7801532,217186304
1987500,7358232,217186304
1679018,7059727,217186304
1703351,7956711,217186304
1684198,7325102,217186304
1691634,7380081,217186304
1931941,7449893,217186304
1544774,7400781,217186304
1822814,7270341,217186304
1956167,6997293,217186304
1587746,7761978,217186304
2659705,6853718,217186304
1730655,7302943,217186304
1963718,7475993,217186304
1704804,8028862,217186304
1835670,7782398,217186304
1832123,7177147,217186304
1847965,7368664,217186304
1485890,7913364,217186304
1905987,6979542,217186304
1555846,7514355,217186304
1726634,7601750,217186304
1796138,7653930,217186304
1777858,7299995,217186304
1926443,6953716,217186304
1773023,7493504,217186304
1821369,7352416,217186304
2011256,7145892,217186304
1795825,7166834,217186304
1705230,7236025,217186304
1691133,7628111,217186304
3632055,5860485,217186304
4119945,6269225,217186304
1957022,7190807,217186304
983883,7927629,217186304
1760317,7500073,217186304
1477237,7719872,217186304
