setup_ns,run_ns,peak_mem
40377,78537074,178257920
67789,77452472,178257920
47931,77427204,178257920
45566,77455208,178257920
45035,77449016,178257920
41549,77441611,178257920
42220,77552362,178257920
49494,80364510,178257920
44425,81284058,178257920
43613,80759341,178257920
68681,79671382,178257920
48392,78266641,178257920
45346,77498851,178257920
43743,79106618,178257920
45747,79077532,178257920
62959,77645420,178257920
40868,77311955,178257920
37912,77407436,178257920
34124,78091598,178257920
43012,80101249,178257920
43042,79391489,178257920
39465,78313349,178257920
44164,77378101,178257920
35216,77469825,178257920
41529,77653294,178257920
39355,79466532,178257920
40386,78117477,178257920
51468,77387188,178257920
39304,78491188,178257920
