setup_ns,run_ns,peak_mem
1477189,111020290,200409088
1496837,110486675,200409088
1483691,110090893,200409088
1481267,112565629,200409088
1506014,114365472,200409088
1540349,125865061,200409088
1655187,119516026,200409088
1537434,114721629,200409088
1494652,112736173,200409088
1473342,111397177,200409088
1484022,111182709,200409088
1486156,111902709,200409088
1507617,113074327,200409088
1498480,113111907,200409088
1493360,113157775,200409088
1497327,114303905,200409088
1525361,112929060,200409088
1495775,113300887,200409088
1489162,122609058,200409088
1485596,111360076,200409088
1480395,115150454,200409088
1511494,112275346,200409088
1472070,111386466,200409088
1476538,110425699,200409088
1468392,110799581,200409088
1489963,110713306,200409088
1487048,108748900,200409088
1478952,110747110,200409088
1468783,109347479,200409088
